,fr,hr,fl,hl
61,3.1865858913216685,9.325704454187733,5.7181844384464195,5.725703879384726
62,3.2120186159149817,9.350572278555184,5.496741106883033,5.665451986144763
63,3.2425240015742194,9.327547859039775,5.597219144964132,5.449148045602793
64,3.3800314148712785,9.35089339273371,5.511071430121886,5.507696948421729
65,3.3584327268587826,9.32479664137322,5.584481262071109,5.5399424356002385
66,3.4070404053673498,9.371658425110299,5.531844336747018,5.699888222703258
67,3.400018590070676,8.944318349627121,5.378949047076503,5.608679882734516
68,3.311790675500653,8.968102329829884,5.269866044514619,5.668033526277339
69,3.339337462614551,8.945021109244685,5.402550591938596,5.630196366974364
70,3.31028765585617,8.969008492147761,5.580451786800982,5.656846078601188
71,3.343030804983517,8.943751711018322,5.609726074951739,6.410002037860325
72,3.302449656913576,8.97071184006703,5.559783593421268,6.414479858992488
73,3.311906182057853,8.940932963840636,5.637186589038123,6.459156442657143
74,3.133716154869037,8.97785294232986,5.265778824350466,6.593208755476276
75,2.9414398128756574,8.859731651148763,5.162063624620465,6.5531960586575115
76,3.0070517605470295,8.858567097147219,5.396224557031296,6.30939267407108
77,3.496329629175235,8.848912011614429,5.776085592029285,6.259134856641355
78,3.530474733897784,8.860719130789407,5.935318205474813,6.283248274959189
79,3.501317203767498,8.849168747772234,5.758178604807235,6.273357679610854
80,3.526145038603682,8.85878077331983,5.953453556766249,6.271017513163774
81,3.5055054116910114,8.853528839705799,5.739535433771081,6.287421755575641
82,3.5217767353375153,8.847601122245095,5.973227669964743,6.249193728417147
83,3.5103172671180425,8.926640816926668,5.717214245025126,6.3389193684874545
84,3.4925424845869752,9.038092336443784,6.00178105970326,5.853623823925629
85,2.8788092945095642,9.167728883278903,5.13346336945291,5.668561406620195
86,3.2560014087118954,9.078385286995573,5.602935905947314,5.5903965670712505
87,3.530480470528455,9.163686720439959,5.573158288824199,5.5635140600126665
88,3.4722202957716517,9.146067171162818,5.753385979203003,5.659658867145412
89,3.331293448483382,9.167935768094477,5.2656001422728105,5.703917673457415
90,3.037878925367197,9.15262521380285,5.173312675678415,5.6036122706595055
91,2.9890454609675494,9.165824372585275,5.138203638736348,5.703702956966511
